der,Campus,campus,Der Campus der Universität ist sehr weitläufig.,Education,Intermediate,0
die,Fakultät,faculty/department,Er arbeitet an der philosophischen Fakultät.,Education,Intermediate,1
das,Institut,institute,Das Institut für Physik ist modern ausgestattet.,Education,Intermediate,2
der,Lehrstuhl,professorship/chair,Der Lehrstuhl für Geschichte ist momentan unbesetzt.,Education,Advanced,0
die,Prüfung,exam,Hattest du vor der Prüfung große Angst?,Education,Beginner,1
das,Zeugnis,certificate/report card,Am Ende des Semesters gibt es ein Zeugnis.,Education,Beginner,2
der,Fehler,mistake,Aus Fehlern kann man viel lernen.,Education,Beginner,0
die,Korrektur,correction,Der Lehrer macht die Korrektur der Hausaufgaben.,Education,Beginner,1
das,Wissen,knowledge,Wissen ist Macht.,Education,Beginner,2
der,Unterricht,lesson/instruction,Der Unterricht fällt heute wegen Krankheit aus.,Education,Beginner,0
die,Schule,school,Meine Kinder gehen gerne in die Schule.,Education,Beginner,1
das,Klassenzimmer,classroom,Im Klassenzimmer hängen viele bunte Bilder.,Education,Beginner,2
der,Schüler,pupil/student (school),Der Schüler hebt die Hand, um eine Frage zu stellen.,Education,Beginner,0
die,Schülerin,pupil (female),Die Schülerin schreibt einen Aufsatz.,Education,Beginner,1
das,Heft,notebook,Schreib die Vokabeln bitte in dein Heft.,Education,Beginner,2
der,Bleistift,pencil,Hast du einen Bleistift für mich?,Education,Beginner,0
die,Kreide,chalk,Der Lehrer schreibt mit Kreide an die Tafel.,Education,Beginner,1
das,Lineal,ruler,Mit dem Lineal ziehe ich eine gerade Linie.,Education,Beginner,2
der,Radiergummi,eraser,Mit dem Radiergummi löscht er das falsche Wort.,Education,Beginner,0
die,Schultasche,school bag,Die Schultasche ist für das Kind viel zu schwer.,Education,Beginner,1
das,Mäppchen,pencil case,In meinem Mäppchen fehlen die Buntstifte.,Education,Beginner,2
der,Füller,fountain pen,In der Grundschule lernt man mit dem Füller zu schreiben.,Education,Beginner,0
die,Tinte,ink,Die blaue Tinte ist auf das Hemd gelaufen.,Education,Beginner,1
das,Blatt,sheet of paper,Reich mir bitte ein leeres Blatt Papier.,Education,Beginner,2
der,Ordner,folder/binder,Ich hefte die Unterlagen in den Ordner ab.,Office,Beginner,0
die,Heftklammer,staple,Hast du noch eine Heftklammer für mich?,Office,Intermediate,1
das,Plakat,poster,Die Schüler haben ein Plakat zum Thema Umweltschutz erstellt.,Education,Beginner,2
der,Schwamm,sponge,Wisch die Tafel bitte mit dem nassen Schwamm ab.,Education,Beginner,0
die,Pause,break,In der Pause spielen die Kinder auf dem Hof.,Education,Beginner,1
der,Staat,state/country,Der Staat garantiert die Grundrechte seiner Bürger.,Politics,Beginner,0
die,Regierung,government,Die Regierung plant eine neue Steuerreform.,Politics,Beginner,1
das,Parlament,parliament,Im Parlament diskutieren die Politiker über das Gesetz.,Politics,Beginner,2
der,Minister,minister,Der Minister für Finanzen hält eine Rede.,Politics,Intermediate,0
die,Ministerin,minister (female),Die Ministerin besucht ein Krankenhaus.,Politics,Intermediate,1
das,Ministerium,ministry,Das Ministerium für Bildung sitzt in Berlin.,Politics,Intermediate,2
der,Bürgermeister,mayor,Der Bürgermeister eröffnet das Stadtfest.,Politics,Beginner,0
die,Bürgermeisterin,mayor (female),Die Bürgermeisterin spricht mit den Bürgern.,Politics,Beginner,1
das,Rathaus,town hall,Wir müssen im Rathaus unseren Ausweis verlängern.,Politics,Beginner,2
der,Wahlkampf,election campaign,Der Wahlkampf war dieses Jahr sehr intensiv.,Politics,Intermediate,0
die,Wahl,election/choice,Die Wahl findet am nächsten Sonntag statt.,Politics,Beginner,1
das,Wahlrecht,right to vote,Das allgemeine Wahlrecht ist ein hohes Gut.,Politics,Advanced,2
der,Kandidat,candidate,Der Kandidat stellt sein Programm vor.,Politics,Beginner,0
die,Kandidatin,candidate (female),Die Kandidatin beantwortet die Fragen der Journalisten.,Politics,Beginner,1
das,Stimmrecht,voting right,In der Versammlung hat jedes Mitglied ein Stimmrecht.,Politics,Advanced,2
der,Bürger,citizen,Jeder Bürger hat Rechte und Pflichten.,Politics,Beginner,0
die,Bürgerin,citizen (female),Die Bürgerin reichte eine Petition ein.,Politics,Beginner,1
das,Gesetz,law,Das Gesetz wurde mit großer Mehrheit verabschiedet.,Legal,Beginner,2
der,Paragraf,paragraph/section (legal),Auf welchen Paragrafen beziehen Sie sich?,Legal,Intermediate,0
die,Verfassung,constitution,Die Verfassung bildet die Grundlage des Staates.,Politics,Advanced,1
das,Grundgesetz,Basic Law (Constitution),Das Grundgesetz schützt die Menschenwürde.,Politics,Advanced,2
der,Vertrag,contract,Der Vertrag wurde von beiden Parteien unterschrieben.,Legal,Beginner,0
die,Klausel,clause,Bitte lesen Sie die zusätzliche Klausel im Vertrag.,Legal,Advanced,1
das,Urteil,judgment/verdict,Das Urteil wird morgen verkündet.,Legal,Intermediate,2
der,Anwalt,lawyer,Mein Anwalt wird sich um die Angelegenheit kümmern.,Legal,Beginner,0
die,Anwältin,lawyer (female),Die Anwältin berät den Mandanten.,Legal,Beginner,1
das,Gericht,court,Das Gericht weist die Klage ab.,Legal,Beginner,2
der,Prozess,trial/process,Der Prozess dauerte über ein Jahr.,Legal,Intermediate,0
die,Klage,lawsuit/complaint,Er hat eine Klage gegen die Firma eingereicht.,Legal,Intermediate,1
das,Verbrechen,crime,Die Polizei untersucht ein schweres Verbrechen.,Legal,Beginner,2
der,Beweis,proof/evidence,Gibt es einen eindeutigen Beweis für die Tat?,Legal,Intermediate,0
die,Spur,trace/track,Die Polizei sicherte die Spuren am Tatort.,Legal,Beginner,1
das,Gefängnis,prison,Er sitzt seit zwei Jahren im Gefängnis.,Legal,Beginner,2
der,Häftling,prisoner,Der Häftling wird heute entlassen.,Legal,Intermediate,0
die,Strafe,punishment/fine,Er muss eine hohe Strafe bezahlen.,Legal,Beginner,1
das,Bußgeld,fine (administrative),Das Bußgeld für Falschparken ist gestiegen.,Legal,Intermediate,2
der,Zeuge,witness,Der Zeuge machte eine klare Aussage.,Legal,Intermediate,0
die,Zeugin,witness (female),Die Zeugin erkannte den Dieb wieder.,Legal,Intermediate,1
das,Protokoll,record/minutes,Der Beamte schreibt ein Protokoll.,Legal,Intermediate,2
der,Ausweis,ID card,Zeigen Sie mir bitte Ihren Ausweis.,General,Beginner,0
die,Behörde,authority,Die Behörde prüft Ihren Antrag.,Politics,Intermediate,1
das,Amt,office/department,Das Standesamt ist für Hochzeiten zuständig.,Politics,Beginner,2
der,Antrag,application,Ich habe einen Antrag auf Kindergeld gestellt.,General,Beginner,0
die,Gebühr,fee,Für den neuen Pass wird eine Gebühr fällig.,Finance,Intermediate,1
das,Dokument,document,Speichern Sie das Dokument auf dem Desktop.,Office,Beginner,2
der,Stempel,stamp,Das Dokument ist ohne Stempel nicht gültig.,Office,Beginner,0
die,Unterschrift,signature,Ihre Unterschrift fehlt noch auf dem Papier.,Office,Beginner,1
das,Formular,form,Füllen Sie bitte das Formular in Blockschrift aus.,General,Beginner,2
der,Hinweis,hint/notice,Beachten Sie bitte den Hinweis auf der Rückseite.,General,Beginner,0
die,Auskunft,information (desk),Die Auskunft am Bahnhof ist heute besetzt.,General,Beginner,1
der,Rohstoff,raw material,Holz ist ein wichtiger nachwachsender Rohstoff.,Industry,Intermediate,0
die,Energie,energy,Wir müssen mehr Energie aus Windkraft gewinnen.,Environment,Beginner,1
das,Kraftwerk,power plant,Das Kraftwerk liefert Strom für die ganze Region.,Industry,Intermediate,2
der,Strom,electricity/current,Der Strom wird dieses Jahr wieder teurer.,Energy,Beginner,0
die,Spannung,voltage/tension,Vorsicht, das Gerät steht unter hoher Spannung.,Energy,Intermediate,1
das,Netz,grid/network,Das deutsche Stromnetz muss modernisiert werden.,Energy,Intermediate,2
der,Windpark,wind farm,Vor der Küste wird ein neuer Windpark gebaut.,Environment,Intermediate,0
die,Solaranlage,solar system,Auf dem Dach ist eine große Solaranlage installiert.,Environment,Intermediate,1
das,Benzin,gasoline/petrol,Das Auto braucht bleifreies Benzin.,Energy,Beginner,2
der,Brennstoff,fuel,Kohle war früher der wichtigste Brennstoff.,Energy,Advanced,0
die,Abwärme,waste heat,Die Abwärme der Fabrik wird zum Heizen genutzt.,Environment,Advanced,1
das,Erdgas,natural gas,Viele Heizungen laufen heutzutage mit Erdgas.,Energy,Intermediate,2
der,Müll,trash/waste,Trennen Sie Ihren Müll bitte sorgfältig.,Environment,Beginner,0
die,Tonner,bin/drum,Die blaue Tonne ist für Altpapier gedacht.,Environment,Beginner,1
das,Recycling,recycling,Recycling schont unsere natürlichen Ressourcen.,Environment,Beginner,2
der,Schadstoff,pollutant,Die Filter reduzieren den Ausstoß von Schadstoffen.,Environment,Advanced,0
die,Umwelt,environment,Wir müssen mehr für den Schutz der Umwelt tun.,Environment,Beginner,1
das,Klima,climate,Der Klimawandel verändert unser Wetter weltweit.,Environment,Beginner,2
der,Treibhauseffekt,greenhouse effect,Der Treibhauseffekt führt zur Erwärmung der Erde.,Environment,Advanced,0
die,Verschmutzung,pollution,Die Verschmutzung der Meere nimmt leider zu.,Environment,Intermediate,1
das,Ökosystem,ecosystem,Der Wald ist ein sehr empfindliches Ökosystem.,Environment,Advanced,2
der,Hersteller,manufacturer,Der Hersteller gibt zwei Jahre Garantie.,Industry,Beginner,0
die,Produktion,production,Die Produktion wurde vorübergehend gestoppt.,Industry,Intermediate,1
das,Fließband,assembly line,Er arbeitet den ganzen Tag am Fließband.,Industry,Intermediate,2
der,Export,export,Der Export von Autos ist für die Wirtschaft wichtig.,Industry,Intermediate,0
die,Branche,sector/industry branch,In dieser Branche herrscht großer Wettbewerb.,Industry,Intermediate,1
das,Unternehmen,company,Das Unternehmen investiert in neue Technologien.,Professional,Beginner,2
der,Konzern,conglomerate/corporation,Der internationale Konzern hat Tausende Mitarbeiter.,Industry,Intermediate,0
die,Gewerkschaft,labor union,Die Gewerkschaft fordert höhere Löhne.,Social,Intermediate,1
das,Lager,warehouse/camp,Die Waren werden im großen Lager aufbewahrt.,Industry,Beginner,2
der,Stahl,steel,Die Brücke besteht aus massivem Stahl.,Materials,Intermediate,0
die,Kohle,coal,Im Ruhrgebiet wurde früher viel Kohle abgebaut.,Materials,Beginner,1
das,Eisen,iron,Eisen rostet, wenn es feucht wird.,Materials,Beginner,2
der,Kunststoff,plastic,Viele Verpackungen bestehen aus Kunststoff.,Materials,Intermediate,0
die,Keramik,ceramic,Die Fliesen sind aus hochwertiger Keramik.,Materials,Intermediate,1
das,Glas,glass,Das Glas zerbrach in tausend Stücke.,Materials,Beginner,2
der,Beton,concrete,Das Haus wurde aus Beton und Stein gebaut.,Materials,Beginner,0
die,Wolle,wool,Die Wolle von Schafen ist sehr warm.,Materials,Beginner,1
das,Gummi,rubber,Die Reifen bestehen aus elastischem Gummi.,Materials,Beginner,2
der,Draht,wire,Der Zaun ist aus dünnem Draht gemacht.,Materials,Intermediate,0
die,Schraube,screw,Dreh die Schraube bitte fest zu.,Tools,Beginner,1
das,Werkzeug,tool,Ohne das richtige Werkzeug kommen wir nicht weiter.,Tools,Beginner,2
der,Klebstoff,glue,Dieser Klebstoff trocknet extrem schnell.,Materials,Intermediate,0
die,Farbe,paint/color,Die Farbe an der Wand ist noch feucht.,Materials,Beginner,1
das,Blech,sheet metal,Die Backform ist aus dünnem Blech.,Materials,Intermediate,2
der,Schrott,scrap metal/junk,Das alte Auto ist nur noch Schrott wert.,Industry,Intermediate,0
die,Anlage,facility/attachment,Die industrielle Anlage ist sehr modern.,Industry,Intermediate,1
das,Bauteil,component,Ein wichtiges Bauteil der Maschine fehlt.,Industry,Advanced,2
der,Mechaniker,mechanic,Der Mechaniker repariert den Motor.,Professional,Beginner,0
die,Mechanikerin,mechanic (female),Die Mechanikerin prüft die Bremsen.,Professional,Beginner,1
der,Glaube,faith/belief,Der Glaube versetzt bekanntlich Berge.,Religion,Intermediate,0
die,Religion,religion,Freiheit der Religion ist ein Menschenrecht.,Religion,Beginner,1
das,Christentum,Christianity,Das Christentum hat Europa kulturell geprägt.,Religion,Intermediate,2
der,Islam,Islam,Der Islam gehört zu den Weltreligionen.,Religion,Intermediate,0
die,Kirche,church,Die alte Kirche steht mitten auf dem Marktplatz.,Religion,Beginner,1
das,Gebet,prayer,Sie spricht jeden Abend ein kurzes Gebet.,Religion,Intermediate,2
der,Gott,god,In vielen Kulturen gibt es unterschiedliche Götter.,Religion,Beginner,0
die,Bibel,bible,Die Bibel ist das meistverkaufte Buch der Welt.,Religion,Beginner,1
das,Kloster,monastery/convent,Die Mönche leben sehr zurückgezogen im Kloster.,Religion,Intermediate,2
der,Priester,priest,Der Priester hielt eine bewegende Predigt.,Religion,Intermediate,0
die,Seele,soul,Was ist das Geheimnis der menschlichen Seele?,Psychology,Intermediate,1
das,Schicksal,fate/destiny,Niemand kennt sein eigenes Schicksal.,Philosophy,Intermediate,2
der,Sinn,sense/meaning,Was ist der Sinn des Lebens?,Philosophy,Beginner,0
die,Wahrheit,truth,Die Wahrheit kommt am Ende immer ans Licht.,Philosophy,Beginner,1
das,Wunder,miracle/wonder,Es ist ein Wunder, dass niemand verletzt wurde.,Philosophy,Beginner,2
der,Widerstand,resistance,Es gab großen Widerstand gegen das neue Gesetz.,Social,Intermediate,0
die,Gerechtigkeit,justice,Alle Menschen streben nach sozialer Gerechtigkeit.,Social,Intermediate,1
das,Gewissen,conscience,Er hat ein schlechtes Gewissen, weil er gelogen hat.,Psychology,Intermediate,2
der,Frieden,peace,Alle Völker wünschen sich dauerhaften Frieden.,Social,Beginner,0
die,Freiheit,freedom,Die Freiheit der Presse ist unantastbar.,Social,Beginner,1
das,Eigentum,property/ownership,Privates Eigentum ist gesetzlich geschützt.,Legal,Intermediate,2
der,Wohlstand,prosperity/wealth,Der Wohlstand des Landes ist ungleich verteilt.,Social,Intermediate,0
die,Armut,poverty,Die Bekämpfung der Armut ist ein wichtiges Ziel.,Social,Beginner,1
das,Vorurteil,prejudice,Man sollte Vorurteile gegenüber Fremden abbauen.,Social,Intermediate,2
der,Respekt,respect,Gegenseitiger Respekt ist die Basis für Dialog.,Social,Beginner,0
die,Ehre,honor,Es ist mir eine große Ehre, Sie kennenzulernen.,Social,Intermediate,1
das,Ansehen,reputation/prestige,Er genießt ein hohes Ansehen in der Gemeinde.,Social,Intermediate,2
der,Bürger,citizen,Der Staat dient dem Schutz seiner Bürger.,Social,Beginner,0
die,Bürgerin,citizen (female),Jede Bürgerin hat eine Stimme bei der Wahl.,Social,Beginner,1
das,Volk,people/nation,Das Volk fordert mehr Mitbestimmung.,Social,Intermediate,2
der,Minderheit,minority (usually die),Die Rechte der Minderheiten müssen geschützt werden.,Social,Intermediate,1
die,Mehrheit,majority,Die Mehrheit stimmte für den Vorschlag.,Social,Beginner,1
das,Mitglied,member,Ich bin Mitglied in einem Sportverein.,Social,Beginner,2
der,Fremde,stranger/foreigner,Er ist kein Fremder mehr in dieser Stadt.,Social,Beginner,0
die,Fremde,stranger (female)/foreign lands,In der Fremde lernte sie sich selbst kennen.,Social,Beginner,1
das,Asyl,asylum,Er stellte einen Antrag auf politisches Asyl.,Politics,Intermediate,2
der,Flüchtling,refugee,Die Flüchtlinge brauchen Nahrung und Unterkunft.,Social,Beginner,0
die,Integration,integration,Sprache ist der Schlüssel zur Integration.,Social,Intermediate,1
das,Zusammenleben,coexistence/living together,Das friedliche Zusammenleben ist sehr wichtig.,Social,Intermediate,2
der,Alltag,daily life,Der graue Alltag kann manchmal langweilig sein.,General,Beginner,0
die,Gewohnheit,habit,Rauchen ist eine schlechte Gewohnheit.,General,Beginner,1
das,Ereignis,event,Das Konzert war ein unvergessliches Ereignis.,General,Beginner,2
der,Zufall,coincidence/chance,Es war reiner Zufall, dass wir uns trafen.,General,Beginner,0
die,Gefahr,danger,In dieser Situation besteht keine Gefahr.,General,Beginner,1
das,Risiko,risk,Jede Entscheidung birgt ein gewisses Risiko.,General,Beginner,2
der,Unterschied,difference,Gibt es einen großen Unterschied zwischen den Produkten?,General,Beginner,0
die,Ähnlichkeit,similarity,Die Ähnlichkeit zwischen den Brüdern ist verblüffend.,General,Intermediate,1
das,Gegenteil,opposite,Das Gegenteil von "gut" ist "böse".,General,Beginner,2
der,Vorteil,advantage,Ein großer Vorteil ist die zentrale Lage.,General,Beginner,0
die,Nachteil,disadvantage,Der hohe Preis ist ein klarer Nachteil.,General,Beginner,1
der,Zeitplan,schedule/timetable,Wir müssen unseren Zeitplan strikt einhalten.,Time,Beginner,0
die,Frist,deadline/period,Die Frist für die Abgabe endet am Freitag.,Time,Intermediate,1
das,Datum,date,Welches Datum haben wir heute?,Time,Beginner,2
der,Zeitraum,period/timeframe,In einem Zeitraum von zwei Wochen ist viel passiert.,Time,Intermediate,0
die,Dauer,duration,Die Dauer der Vorstellung beträgt zwei Stunden.,Time,Intermediate,1
das,Intervall,interval,Die Züge fahren in einem kurzen Intervall.,Time,Advanced,2
der,Augenblick,moment/instant,Warten Sie bitte einen Augenblick.,Time,Beginner,0
die,Gegenwart,present (time),Man sollte mehr in der Gegenwart leben.,Time,Intermediate,1
das,Zeitalter,era/age,Wir leben im digitalen Zeitalter.,Time,Advanced,2
der,Vorgänger,predecessor,Mein Vorgänger hat mir alle Unterlagen hinterlassen.,Professional,Intermediate,0
die,Nachfolgerin,successor (female),Sie ist die Nachfolgerin des Schuldirektors.,Professional,Intermediate,1
das,Ereignis,event,Das Konzert war ein historisches Ereignis.,General,Beginner,2
der,Kalender,calendar,Ich trage den Termin in meinen Kalender ein.,General,Beginner,0
die,Uhrzeit,time of day,Können Sie mir die genaue Uhrzeit sagen?,Time,Beginner,1
das,Jahrzehnt,decade,In diesem Jahrzehnt hat sich viel verändert.,Time,Intermediate,2
der,Abstand,distance/gap,Halten Sie bitte genug Abstand zum Vordermann.,General,Beginner,0
die,Fläche,area/surface,Die Fläche des Grundstücks ist sehr groß.,Math,Intermediate,1
das,Volumen,volume,Das Volumen des Behälters beträgt fünf Liter.,Math,Intermediate,2
der,Umfang,circumference/scope,Der Umfang des Kreises lässt sich leicht berechnen.,Math,Intermediate,0
die,Breite,width,Die Breite des Tisches beträgt einen Meter.,Math,Beginner,1
das,Maß,measure/dimension,Das richtige Maß ist beim Kochen wichtig.,Math,Intermediate,2
der,Durchmesser,diameter,Der Durchmesser der Röhre ist zu klein.,Math,Intermediate,0
die,Höhe,height,Die Höhe des Berges beeindruckt mich.,Math,Beginner,1
das,Gewicht,weight,Das Gewicht des Pakets ist zu hoch.,Math,Beginner,2
der,Winkel,angle,Ein Quadrat hat vier rechte Winkel.,Math,Intermediate,0
die,Gerade,straight line,Zeichnen Sie eine Gerade auf das Papier.,Math,Intermediate,1
das,Dreieck,triangle,Ein Dreieck hat drei Ecken.,Math,Beginner,2
der,Kreis,circle,Wir setzen uns alle in einen Kreis.,Math,Beginner,0
die,Kurve,curve,Das Auto fährt schnell um die Kurve.,General,Beginner,1
das,Quadrat,square,Die Fläche eines Quadrats ist einfach zu berechnen.,Math,Beginner,2
der,Punkt,point/dot,Setzen Sie am Ende des Satzes einen Punkt.,Math,Beginner,0
die,Zahl,number,Nennen Sie mir bitte eine Zahl zwischen eins und zehn.,Math,Beginner,1
das,Ergebnis,result,Das Ergebnis der Rechnung ist korrekt.,Math,Beginner,2
der,Bruch,fraction/break,In Mathe lernen wir heute das Rechnen mit Brüchen.,Math,Intermediate,0
die,Gleichung,equation,Können Sie diese Gleichung nach x auflösen?,Math,Advanced,1
das,Symbol,symbol,Das Pluszeichen ist ein mathematisches Symbol.,Math,Beginner,2
der,Durchschnitt,average,Der Durchschnitt der Noten ist befriedigend.,Math,Intermediate,0
die,Summe,sum/total,Die Summe der Ausgaben ist sehr hoch.,Math,Intermediate,1
das,Viertel,quarter,Ein Viertel der Torte ist schon gegessen.,Math,Beginner,2
der,Rest,rest/remainder,Den Rest des Geldes kannst du behalten.,General,Beginner,0
die,Hälfte,half,Ich gebe dir die Hälfte von meinem Apfel.,Math,Beginner,1
das,Ganze,whole,Das Ganze ist mehr als die Summe seiner Teile.,Philosophy,Intermediate,2
der,Faktor,factor,Zeit ist ein wichtiger Faktor bei diesem Projekt.,General,Intermediate,0
die,Menge,quantity/amount,Wir haben eine große Menge an Holz bestellt.,General,Beginner,1
das,Prozent,percent,Zehn Prozent der Befragten sagten "Nein".,Math,Beginner,2
der,Anteil,share/proportion,Der Anteil an Frauen in der Firma steigt.,Social,Intermediate,0
die,Statistik,statistics,Die Statistik zeigt eine positive Entwicklung.,Math,Intermediate,1
das,Maximum,maximum,Das Maximum der Temperatur wurde heute erreicht.,General,Intermediate,2
der,Wert,value,Der Wert des Hauses ist gestiegen.,Finance,Intermediate,0
die,Einheit,unit,Meter ist eine Einheit für die Länge.,Math,Intermediate,1
der,Passagier,passenger,Der Passagier wartet am Gate auf das Boarding.,Travel,Beginner,0
die,Passagierin,passenger (female),Die Passagierin hat ihr Flugticket verloren.,Travel,Beginner,1
das,Gepäck,luggage,Wir geben unser Gepäck am Schalter ab.,Travel,Beginner,2
der,Koffer,suitcase,Mein Koffer wiegt genau zwanzig Kilo.,Travel,Beginner,0
die,Reisetasche,travel bag,In die Reisetasche passt alles für das Wochenende.,Travel,Beginner,1
das,Handgepäck,carry-on luggage,Flüssigkeiten im Handgepäck sind nur begrenzt erlaubt.,Travel,Beginner,2
der,Zoll,customs,Wir müssen am Flughafen durch den Zoll gehen.,Travel,Intermediate,0
die,Grenze,border,Die Grenze zwischen den Ländern ist offen.,Geography,Beginner,1
das,Visum,visa,Für die Einreise in die USA braucht man ein Visum.,Travel,Beginner,2
der,Aufenthalt,stay,Wie war Ihr Aufenthalt in unserem Hotel?,Travel,Beginner,0
die,Ankunft,arrival,Die Ankunft des Zuges verzögert sich.,Travel,Beginner,1
das,Ziel,destination/goal,Wir haben unser Ziel nach zehn Stunden erreicht.,Travel,Beginner,2
der,Abflug,departure (flight),Der Abflug ist für 10:30 Uhr geplant.,Travel,Beginner,0
die,Verspätung,delay,Wegen des Wetters hat der Flug Verspätung.,Travel,Beginner,1
das,Flugzeug,airplane,Das Flugzeug fliegt über die Alpen.,Travel,Beginner,2
der,Pilot,pilot,Der Pilot begrüßt die Fluggäste.,Professional,Beginner,0
die,Pilotin,pilot (female),Die Pilotin landet die Maschine sicher.,Professional,Beginner,1
das,Cockpit,cockpit,Besucher dürfen normalerweise nicht ins Cockpit.,Travel,Intermediate,2
der,Flugbegleiter,flight attendant,Der Flugbegleiter serviert Getränke.,Professional,Beginner,0
die,Stewardess,stewardess/flight attendant,Die Stewardess erklärt die Sicherheitsregeln.,Professional,Beginner,1
das,Hotel,hotel,Das Hotel liegt direkt am Strand.,Travel,Beginner,2
der,Empfang,reception,Melden Sie sich bitte am Empfang an.,Travel,Beginner,0
die,Rezeption,reception desk,An der Rezeption erhalten Sie Ihren Zimmerschlüssel.,Travel,Beginner,1
das,Zimmer,room,Mein Zimmer hat einen schönen Blick auf den Park.,Home,Beginner,2
der,Schlüssel,key,Ich habe den Schlüssel an der Rezeption abgegeben.,Home,Beginner,0
die,Chipkarte,chip card,Die Zimmertür lässt sich mit der Chipkarte öffnen.,Technology,Intermediate,1
das,Frühstücksbuffet,breakfast buffet,Das Frühstücksbuffet ist im Preis enthalten.,Food,Beginner,2
der,Tourismus,tourism,Der Tourismus ist wichtig für die Region.,Social,Beginner,0
die,Sehenswürdigkeit,tourist attraction,Der Kölner Dom ist eine berühmte Sehenswürdigkeit.,Travel,Beginner,1
das,Denkmal,monument,Das Denkmal erinnert an ein wichtiges Ereignis.,History,Intermediate,2
der,Reiseführer,travel guide (person/book),Ich habe mir einen Reiseführer über Berlin gekauft.,Travel,Beginner,0
die,Landkarte,map,Früher hat man auf Reisen eine Landkarte benutzt.,Geography,Beginner,1
das,Navi,GPS/satnav,Das Navi zeigt uns den schnellsten Weg.,Technology,Beginner,2
der,Kompass,compass,Ein Kompass hilft bei der Orientierung im Wald.,Objects,Intermediate,0
die,Himmelsrichtung,cardinal direction,Norden ist eine der vier Himmelsrichtungen.,Geography,Intermediate,1
das,Ausland,abroad/foreign country,Ich möchte für ein Jahr ins Ausland gehen.,Travel,Beginner,2
der,Kontinent,continent,Afrika ist ein riesiger Kontinent.,Geography,Beginner,0
die,Nation,nation,Die Vereinten Nationen setzen sich für Frieden ein.,Politics,Intermediate,1
das,Land,country,In welchem Land bist du geboren?,Geography,Beginner,2
der,Staat,state,Der Staat sorgt für die Sicherheit der Bürger.,Politics,Beginner,0
die,Botschaft,embassy/message,Die deutsche Botschaft befindet sich in der Stadtmitte.,Politics,Intermediate,1
das,Konsulat,consulate,Ich muss meinen Pass im Konsulat verlängern.,Politics,Intermediate,2
der,Diplomat,diplomat,Der Diplomat verhandelt über den Friedensvertrag.,Politics,Advanced,0
die,Diplomatin,diplomat (female),Die Diplomatin reist zu einer Konferenz.,Politics,Advanced,1
das,Abkommen,agreement/treaty,Beide Länder unterschrieben ein Handelsabkommen.,Politics,Advanced,2
der,Konflikt,conflict,Der politische Konflikt dauert schon lange an.,Social,Intermediate,0
die,Krise,crisis,Die wirtschaftliche Krise betrifft viele Firmen.,Finance,Intermediate,1
das,Bündnis,alliance,Die beiden Länder schlossen ein militärisches Bündnis.,Politics,Advanced,2
der,Krieg,war,Niemand wünscht sich einen neuen Krieg.,History,Beginner,0
die,Verhandlung,negotiation,Die Verhandlungen waren schwierig, aber erfolgreich.,Professional,Intermediate,1
der,Journalismus,journalism,Der Journalismus steht vor großen digitalen Herausforderungen.,Media,Intermediate,0
die,Pressefreiheit,freedom of the press,Die Pressefreiheit ist ein Grundpfeiler der Demokratie.,Media,Advanced,1
das,Medium,medium/means,Das Radio ist ein klassisches Medium der Information.,Media,Intermediate,2
der,Bericht,report/account,Der Bericht in der Zeitung war sehr sachlich.,Media,Beginner,0
die,Meldung,news item/notification,Ich habe gerade eine dringende Meldung auf dem Handy erhalten.,Media,Intermediate,1
das,Interview,interview,Der Minister gab dem Fernsehen ein kurzes Interview.,Media,Beginner,2
der,Moderator,host/presenter,Der Moderator führt charmant durch die Sendung.,Media,Beginner,0
die,Moderatorin,host (female),Die Moderatorin stellt den Gästen kluge Fragen.,Media,Beginner,1
das,Fernsehen,television,Ich schaue abends selten Fernsehen.,Media,Beginner,2
der,Sender,broadcaster/channel,Welchen Sender hast du gerade eingeschaltet?,Media,Beginner,0
die,Sendung,broadcast/program,Die Sendung wird jeden Mittwoch ausgestrahlt.,Media,Beginner,1
das,Publikum,audience,Das Publikum klatschte nach dem Film begeistert.,Media,Beginner,2
der,Zuschauer,viewer/spectator,Millionen Zuschauer verfolgten das Finale live.,Media,Beginner,0
die,Zuschauerin,viewer (female),Die Zuschauerin im Studio stellte eine Frage.,Media,Beginner,1
das,Plakat,poster/billboard,Ein großes Plakat wirbt für das neue Konzert.,Media,Beginner,2
der,Rundfunk,broadcasting/radio,Der öffentliche Rundfunk wird durch Gebühren finanziert.,Media,Advanced,0
die,Werbung,advertising/commercial,Die Werbung im Fernsehen nervt mich manchmal.,Media,Beginner,1
das,Inserat,advertisement (print),Sie hat ein Inserat für die Wohnung in der Zeitung gelesen.,Media,Intermediate,2
der,Artikel,article,Hast du den Artikel über den Klimawandel gelesen?,Media,Beginner,0
die,Schlagzeile,headline,Die Schlagzeile heute ist wirklich dramatisch.,Media,Intermediate,1
das,Magazin,magazine,Das Magazin erscheint einmal im Monat.,Media,Beginner,2
der,Herausgeber,publisher/editor,Der Herausgeber der Zeitung feiert sein Jubiläum.,Media,Advanced,0
die,Redaktion,editorial staff/office,Die Redaktion arbeitet unter großem Zeitdruck.,Media,Intermediate,1
das,Zitierrecht,right to quote,Das Zitierrecht erlaubt kurze Auszüge aus Werken.,Legal,Advanced,2
